Cluster,RNA Sequence
Cluster 8666,rna-NM_001006308.1.51
Cluster 8667,rna-XM_015278141.4.2
Cluster 8668,rna-XM_414416.8.13
Cluster 8669,rna-XM_030289297.3.54
Cluster 8670,rna-XM_002196718.6.25
Cluster 8671,rna-XM_041713052.1.151
Cluster 8672,rna-XM_030288536.3.18
Cluster 8673,rna-XM_041715458.1.23
Cluster 8674,rna-XM_025152001.3.9
Cluster 8675,rna-NM_001198990.3.84
Cluster 8676,rna-XM_015278224.4.61
Cluster 8677,rna-XM_418256.8.70
Cluster 8678,rna-XM_040701627.2.5
Cluster 8679,rna-NM_001030834.2.104
Cluster 8680,rna-XM_040697519.2.3
Cluster 8681,rna-NM_001031151.2.7
Cluster 8682,rna-NM_001006217.3.18
Cluster 8683,rna-XM_004936053.5.7
Cluster 8684,rna-XM_426167.7.23
Cluster 8685,rna-XM_046924365.1.1
Cluster 8686,rna-NM_001006590.1.8
Cluster 8687,rna-XM_015282646.4.1
Cluster 8688,rna-XM_030291776.3.44
Cluster 8689,rna-XM_041716136.1.17
Cluster 8690,rna-XM_030268336.3.5
Cluster 8691,rna-XM_032748642.2.6
Cluster 8692,rna-NM_204407.2.2
Cluster 8693,rna-XM_001232159.5.17
Cluster 8694,rna-NM_001397238.1.5
Cluster 8695,rna-XM_025147497.3.1
Cluster 8696,rna-NM_001012871.2.128
Cluster 8697,rna-XM_004936233.5.7
Cluster 8698,rna-XM_040646180.2.42
Cluster 8699,rna-NM_001031611.3.6
Cluster 8700,rna-XM_004938189.5.34
Cluster 8701,rna-XM_003640460.5.36
Cluster 8702,rna-XM_040705404.1.10
Cluster 8703,rna-XM_004943200.5.32
Cluster 8704,rna-NM_204162.2.5
Cluster 8705,rna-XM_015286593.4.5
Cluster 8706,rna-XM_030287960.2.27
Cluster 8707,rna-XM_041714021.1.1
Cluster 8708,rna-XM_030282122.3.20
Cluster 8709,rna-XM_012572692.4.2
Cluster 8710,rna-XM_030265387.3.33
Cluster 8711,rna-XM_041718360.1.19
Cluster 8712,rna-XM_032748627.2.6
Cluster 8713,rna-XM_417077.8.2
Cluster 8714,rna-XM_046939235.1.26
Cluster 8715,rna-NM_001079491.1.116
Cluster 8716,rna-XM_025142762.3.93
Cluster 8717,rna-XM_423226.8.7
Cluster 8718,rna-XM_015298641.4.243
Cluster 8719,rna-XM_046899666.1.16
Cluster 8720,rna-XM_015283908.4.73
Cluster 8721,rna-NM_001031387.2.82
Cluster 8722,rna-NM_001396945.1.30
Cluster 8723,rna-NM_001039255.1.22
Cluster 8724,rna-XM_003641786.5.12
Cluster 8725,rna-NM_205152.3.1
Cluster 8726,rna-XM_030265550.3.14
Cluster 8727,rna-XM_041712104.1.101
Cluster 8728,rna-XM_002193010.6.4
Cluster 8729,rna-NM_001397455.1.37
Cluster 8730,rna-NM_001398092.1.43
Cluster 8731,rna-NM_204336.4.59
Cluster 8732,rna-XM_015284054.4.20
Cluster 8733,rna-XM_015276749.4.71
Cluster 8734,rna-XM_046940310.1.43
Cluster 8735,rna-XM_015276438.4.97
Cluster 8736,rna-NM_001031592.2.6
Cluster 8737,rna-XM_421754.8.9
Cluster 8738,rna-XM_001233236.7.15
Cluster 8739,rna-XM_041711484.1.83
Cluster 8740,rna-XM_422265.7.10
Cluster 8741,rna-XM_025154275.3.21
Cluster 8742,rna-XM_040699470.2.7
Cluster 8743,rna-NM_001039306.3.8
Cluster 8744,rna-XM_015282411.4.1
Cluster 8745,rna-XM_015299295.4.85
Cluster 8746,rna-XM_040703400.2.8
Cluster 8747,rna-XM_046899910.1.13
Cluster 8748,rna-XM_040653293.2.57
Cluster 8749,rna-XM_046905623.1.54
Cluster 8750,rna-XM_025150333.3.130
Cluster 8751,rna-XM_030286808.3.24
Cluster 8752,rna-XM_030269978.3.2
Cluster 8753,rna-XM_030274174.3.6
Cluster 8754,rna-XM_041710983.1.37
Cluster 8755,rna-XM_041711660.1.2338
Cluster 8756,rna-XM_030282865.3.13
Cluster 8757,rna-XM_041718623.1.20
Cluster 8758,rna-XM_030291420.3.62
Cluster 8759,rna-XM_415242.8.22
Cluster 8760,rna-NM_001031448.2.6
Cluster 8761,rna-XM_003641087.6.33
Cluster 8762,rna-XM_015295304.4.28
Cluster 8763,rna-XM_040652013.2.114
Cluster 8764,rna-XM_015288830.4.9
Cluster 8765,rna-XM_003642451.6.87
Cluster 8766,rna-XM_015283708.4.3
Cluster 8767,rna-NM_001031064.2.20
Cluster 8768,rna-NM_205054.2.59
Cluster 8769,rna-NM_001030844.2.87
Cluster 8770,rna-XM_025153075.3.10
Cluster 8771,rna-XM_040652492.2.105
Cluster 8772,rna-NM_204878.1.116
Cluster 8773,rna-XM_015286858.4.145
Cluster 8774,rna-XM_046899044.1.14
Cluster 8775,rna-XM_030256990.3.37
Cluster 8776,rna-XM_030279196.3.9
Cluster 8777,rna-XM_030266599.3.1
Cluster 8778,rna-XM_030269782.3.2
Cluster 8779,rna-XM_002197961.6.9
Cluster 8780,rna-XM_041711706.1.8377
Cluster 8781,rna-XM_041711668.1.170
Cluster 8782,rna-XM_012569629.4.5
Cluster 8783,rna-XM_030291540.3.62
Cluster 8784,rna-NM_001031016.2.1
Cluster 8785,rna-XM_416398.7.26
Cluster 8786,rna-NM_001030572.2.16
Cluster 8787,rna-NM_001389552.2.21
Cluster 8788,rna-NM_001397094.1.17
Cluster 8789,rna-NM_204354.2.4
Cluster 8790,rna-XM_040649504.2.28
Cluster 8791,rna-NM_204967.2.88
Cluster 8792,rna-XM_004946094.5.28
Cluster 8793,rna-NM_001199166.2.17
Cluster 8794,rna-XM_418370.7.1
Cluster 8795,rna-XM_046904501.1.57
Cluster 8796,rna-XM_419324.8.128
Cluster 8797,rna-XM_015278722.4.99
Cluster 8798,rna-XM_003640380.6.4
Cluster 8799,rna-NM_001318409.2.42
Cluster 8800,rna-NM_001397233.1.29
Cluster 8801,rna-NM_213583.3.116
Cluster 8802,rna-XM_004940056.5.1
Cluster 8803,rna-XM_012570639.4.42
Cluster 8804,rna-XM_030257935.3.7
Cluster 8805,rna-XM_030290598.3.42
Cluster 8806,rna-XM_041712047.1.178
Cluster 8807,rna-XM_046904674.1.84
Cluster 8808,rna-NM_205310.2.5
Cluster 8809,rna-NM_001396315.1.50
Cluster 8810,rna-NM_001318441.2.3
Cluster 8811,rna-NM_001318772.2.1
Cluster 8812,rna-XM_004936029.5.7
Cluster 8813,rna-XM_420689.8.7
Cluster 8814,rna-XM_015290334.4.32
Cluster 8815,rna-NM_204586.3.3
Cluster 8816,rna-XM_414754.8.15
Cluster 8817,rna-XM_046907034.1.1222
Cluster 8818,rna-XM_040652455.2.801
Cluster 8819,rna-XM_040699539.2.46
Cluster 8820,rna-NM_001305257.2.4
Cluster 8821,rna-NM_001398135.1.2
Cluster 8822,rna-XM_040698089.2.2361
Cluster 8823,rna-NM_205355.2.12
Cluster 8824,rna-XM_012577714.4.7
Cluster 8825,rna-XM_030271387.3.10
Cluster 8826,rna-XM_032746678.2.33
Cluster 8827,rna-XM_004174936.4.5
Cluster 8828,rna-XM_041718291.1.48
Cluster 8829,rna-XM_004174735.5.5
Cluster 8830,rna-XM_032746084.2.104
Cluster 8831,rna-XM_030258558.3.41
Cluster 8832,rna-XM_002187761.3.31
Cluster 8833,rna-XM_002189924.6.7
Cluster 8834,rna-NM_001396031.2.51
Cluster 8835,rna-XM_416166.8.4
Cluster 8836,rna-XM_040651750.2.204
Cluster 8837,rna-NM_001199607.3.4
Cluster 8838,rna-XM_046941053.1.11
Cluster 8839,rna-NM_001318423.2.70
Cluster 8840,rna-XM_003642028.6.13
Cluster 8841,rna-XM_015293535.4.37
Cluster 8842,rna-NM_001001746.2.6
Cluster 8843,rna-NM_001031102.2.40
Cluster 8844,rna-XM_004945197.5.15
Cluster 8845,rna-XM_046900747.1.15
Cluster 8846,rna-XM_032750529.2.15
Cluster 8847,rna-XM_041714747.1.2
Cluster 8848,rna-XM_025153319.2.11
Cluster 8849,rna-XM_040696151.2.8796
Cluster 8850,rna-NM_001389448.2.34
Cluster 8851,rna-XM_424363.8.78
Cluster 8852,rna-NM_204657.2.3
Cluster 8853,rna-NM_001287196.3.42
Cluster 8854,rna-XM_416468.8.4
Cluster 8855,rna-XM_415851.8.18
Cluster 8856,rna-NM_001172781.1.3
Cluster 8857,rna-NM_001006377.2.1
Cluster 8858,rna-XM_040704947.2.10
Cluster 8859,rna-XM_004937502.5.4
Cluster 8860,rna-XM_030267130.3.5
Cluster 8861,rna-XM_041712678.1.172
Cluster 8862,rna-XM_416013.8.4
Cluster 8863,rna-XM_001234627.7.40
Cluster 8864,rna-XM_015297583.3.51
Cluster 8865,rna-NM_001030991.2.65
Cluster 8866,rna-NM_001031458.2.21
Cluster 8867,rna-NM_204838.2.117
Cluster 8868,rna-XM_046902767.1.18
Cluster 8869,rna-XM_015274044.4.421
Cluster 8870,rna-NM_001199392.3.133
Cluster 8871,rna-XM_015288469.4.4
Cluster 8872,rna-XM_421932.8.8
Cluster 8873,rna-XM_015297786.4.51
Cluster 8874,rna-NM_001142849.3.172
Cluster 8875,rna-XM_001234696.7.49
Cluster 8876,rna-XM_040704718.2.32
Cluster 8877,rna-XM_015291418.4.12
Cluster 8878,rna-NM_205150.3.1
Cluster 8879,rna-XM_015282193.4.1
Cluster 8880,rna-XM_030277648.3.11
Cluster 8881,rna-XM_030291455.3.62
Cluster 8882,rna-XM_002187537.6.9
Cluster 8883,rna-XM_030284184.3.21
Cluster 8884,rna-XM_041716939.1.38
Cluster 8885,rna-NM_001031555.2.9
Cluster 8886,rna-XM_004940390.5.3
Cluster 8887,rna-NM_001079481.2.5
Cluster 8887,rna-NM_205172.2.96
Cluster 8887,rna-XM_046938834.1.20
Cluster 8888,rna-NM_001199403.2.4
Cluster 8889,rna-XM_046939193.1.20
Cluster 8890,rna-NM_001389629.2.84
Cluster 8891,rna-NM_001031207.3.5
Cluster 8892,rna-XM_003642666.6.105
Cluster 8893,rna-XM_429743.8.1
Cluster 8894,rna-XM_424808.8.6
Cluster 8895,rna-NM_001278145.2.1
Cluster 8896,rna-XM_415686.8.28
Cluster 8897,rna-XM_015285175.4.40
Cluster 8898,rna-XM_015282807.4.1
Cluster 8899,rna-NM_001317356.2.18
Cluster 8900,rna-XM_418986.7.1
Cluster 8901,rna-XM_002194976.5.10
Cluster 8902,rna-NM_001048264.1.5
Cluster 8903,rna-XM_030259922.3.85
Cluster 8904,rna-XM_041711616.1.83
Cluster 8905,rna-XM_041712588.1.113
Cluster 8906,rna-XM_030276524.3.8
Cluster 8907,rna-NM_001113571.2.2
Cluster 8908,rna-XM_046905994.1.2
Cluster 8909,rna-XM_046938866.1.3
Cluster 8910,rna-NM_001142390.1.105
Cluster 8911,rna-XM_015273248.4.177
Cluster 8912,rna-XM_015286266.4.116
Cluster 8913,rna-XM_040654848.2.100
Cluster 8914,rna-NM_205092.2.7
Cluster 8915,rna-NM_205092.2.14947
Cluster 8916,rna-XM_424044.8.2
Cluster 8917,rna-XM_025143669.3.34
Cluster 8918,rna-XM_001231936.7.69
Cluster 8919,rna-NM_001007948.2.9
Cluster 8920,rna-NM_001305183.2.7
Cluster 8921,rna-XM_025144347.3.163
Cluster 8922,rna-XM_003640648.6.62
Cluster 8923,rna-XM_030271182.3.3
Cluster 8924,rna-XM_030272671.3.17
Cluster 8925,rna-NM_001031152.3.7
Cluster 8926,rna-NM_001001604.2.14
Cluster 8927,rna-NM_001031563.2.10
Cluster 8928,rna-XM_425185.8.37
Cluster 8929,rna-NM_001012879.2.3
Cluster 8930,rna-NM_001044671.1.16
Cluster 8931,rna-NM_205518.2.15
Cluster 8932,rna-XM_046901248.1.22
Cluster 8933,rna-XM_025150856.3.5
Cluster 8934,rna-XM_040704399.2.2
Cluster 8935,rna-NM_001001461.2.35
Cluster 8936,rna-XM_414759.8.15
Cluster 8937,rna-XM_041721289.1.44
Cluster 8938,rna-XM_030277343.3.11
Cluster 8939,rna-NM_001198752.2.57
Cluster 8940,rna-NM_001389720.2.18
Cluster 8941,rna-NM_204400.3.1
Cluster 8942,rna-XM_419749.8.3
Cluster 8943,rna-NM_204333.1.2
Cluster 8944,rna-XM_418054.8.88
Cluster 8945,rna-XM_004938354.5.11
Cluster 8946,rna-NM_001006406.2.5
Cluster 8947,rna-XM_015293952.4.19
Cluster 8948,rna-NM_001199393.2.4
Cluster 8949,rna-XM_040697597.2.4
Cluster 8950,rna-NM_001033941.2.3
Cluster 8951,rna-XM_015299467.3.57
Cluster 8952,rna-NM_001389483.2.23
Cluster 8953,rna-XM_046902534.1.18
Cluster 8954,rna-XM_046904456.1.57
Cluster 8955,rna-NM_205211.2.84
Cluster 8956,rna-XM_046934606.1.4
Cluster 8957,rna-XM_004935423.5.39
Cluster 8958,rna-XM_046901955.1.17
Cluster 8959,rna-XM_030283946.3.21
Cluster 8960,rna-XM_030271642.3.3
Cluster 8961,rna-XM_030284229.3.35
Cluster 8962,rna-XM_015300119.4.84
Cluster 8963,rna-NM_001389504.2.12
Cluster 8964,rna-XM_015290123.4.8
Cluster 8965,rna-XM_015285728.4.7
Cluster 8966,rna-XM_015290665.4.10
Cluster 8967,rna-NM_001128063.3.28
Cluster 8968,rna-XM_015287718.4.5
Cluster 8969,rna-NM_001006329.1.85
Cluster 8970,rna-XM_046940980.1.112
Cluster 8971,rna-NM_001083365.2.71
Cluster 8972,rna-XM_040697982.2.40
Cluster 8973,rna-NM_001080891.2.17
Cluster 8974,rna-XM_040666299.2.2
Cluster 8975,rna-XM_419490.8.3
Cluster 8976,rna-XM_421597.8.98
Cluster 8977,rna-NM_001198620.2.13
Cluster 8978,rna-XM_426022.6.45
Cluster 8979,rna-XM_030284098.3.21
Cluster 8980,rna-XM_041719405.1.26
Cluster 8981,rna-NM_001278725.2.15
Cluster 8982,rna-NM_204566.2.14
Cluster 8983,rna-XM_015275768.4.4
Cluster 8984,rna-NM_204947.2.76
Cluster 8985,rna-NM_001006201.3.17
Cluster 8986,rna-XM_015286436.4.5
Cluster 8987,rna-XM_001232860.7.75
Cluster 8988,rna-NM_205007.2.19
Cluster 8989,rna-XM_040695703.2.1
Cluster 8990,rna-XM_420574.8.108
Cluster 8991,rna-XM_417210.7.2
Cluster 8992,rna-XM_046922105.1.1
Cluster 8993,rna-XM_004950225.5.122
Cluster 8994,rna-XM_423865.8.6
Cluster 8995,rna-NM_001044641.3.27
Cluster 8996,rna-XM_040695966.2.1
Cluster 8997,rna-XM_046901263.1.22
Cluster 8998,rna-NM_001257203.2.96
Cluster 8999,rna-XM_040702398.2.98
Cluster 9000,rna-XM_025144198.3.57
Cluster 9001,rna-XM_012570721.4.31
Cluster 9002,rna-XM_032749267.2.8
Cluster 9003,rna-XM_032750549.2.13
Cluster 9004,rna-XM_030281062.3.19
Cluster 9005,rna-XM_002197929.5.24
Cluster 9006,rna-XM_002186587.5.17
Cluster 9007,rna-XM_030264941.3.1
Cluster 9008,rna-XM_046903719.1.204
Cluster 9009,rna-XM_415754.7.18
Cluster 9010,rna-NM_001006312.2.51
Cluster 9011,rna-XM_025149542.3.33
Cluster 9012,rna-XM_040653411.2.85
Cluster 9013,rna-XM_415299.7.22
Cluster 9014,rna-NM_001044660.2.2696
Cluster 9015,rna-XM_001232340.7.145
Cluster 9016,rna-NM_001031479.2.4
Cluster 9017,rna-NM_001030345.3.28
Cluster 9018,rna-XM_015298254.3.77
Cluster 9019,rna-NM_001012794.2.22
Cluster 9020,rna-NM_001318418.2.100
Cluster 9021,rna-XM_046902603.1.18
Cluster 9022,rna-XM_025149556.3.61
Cluster 9023,rna-XM_420399.6.46
Cluster 9024,rna-XM_004947967.5.69
Cluster 9025,rna-XM_419257.8.81
Cluster 9026,rna-NM_205508.1.5
Cluster 9027,rna-NM_001199569.3.116
Cluster 9028,rna-XM_040649042.2.17
Cluster 9029,rna-NM_001044684.2.8
Cluster 9030,rna-XM_414298.8.42
Cluster 9031,rna-XM_015284707.4.3
Cluster 9032,rna-XM_002200561.5.6
Cluster 9033,rna-XM_030266063.2.1
Cluster 9034,rna-XM_041711617.1.1024
Cluster 9035,rna-XM_046938092.1.1
Cluster 9036,rna-NM_001031436.2.6
Cluster 9037,rna-NM_001040468.2.10
Cluster 9038,rna-XM_015282221.4.1
Cluster 9039,rna-NM_001310089.1.9
Cluster 9040,rna-XM_001233593.7.7
Cluster 9041,rna-XM_004937542.4.4
Cluster 9042,rna-XM_426283.8.43
Cluster 9043,rna-XM_040697055.2.3
Cluster 9044,rna-XM_015280295.4.6
Cluster 9045,rna-NM_001199442.3.25
Cluster 9046,rna-XM_015295951.3.11
Cluster 9047,rna-NM_001079495.2.15
Cluster 9048,rna-NM_001031023.2.1
Cluster 9049,rna-XM_414951.8.15
Cluster 9050,rna-NM_001277461.2.14
Cluster 9051,rna-NM_001012560.2.1
Cluster 9052,rna-NM_001396681.1.165
Cluster 9053,rna-XM_015289509.4.8
Cluster 9054,rna-NM_001031247.2.35
Cluster 9055,rna-XM_424846.8.6
Cluster 9056,rna-XM_012569965.4.33
Cluster 9057,rna-XM_030273671.3.45
Cluster 9058,rna-XM_041711479.1.83
Cluster 9059,rna-XM_041715073.1.2
Cluster 9060,rna-XM_012570026.4.15
Cluster 9061,rna-XM_421428.8.5
Cluster 9062,rna-NM_001085359.3.19
Cluster 9063,rna-NM_001030859.2.38
Cluster 9064,rna-XM_040704963.2.10
Cluster 9065,rna-NM_001307997.4.33
Cluster 9066,rna-XM_015283881.4.3
Cluster 9067,rna-NM_001398430.1.29
Cluster 9068,rna-NM_001396909.1.1
Cluster 9069,rna-NM_001162892.3.40
Cluster 9070,rna-XM_419708.8.23
Cluster 9071,rna-XM_015278916.4.2
Cluster 9072,rna-XM_015295594.4.28
Cluster 9073,rna-NM_001030632.2.15
Cluster 9074,rna-XM_040647362.2.15
Cluster 9075,rna-XM_015296166.4.18
Cluster 9076,rna-NM_001278156.2.81
Cluster 9077,rna-XM_426507.8.9
Cluster 9078,rna-XM_040697690.2.3
Cluster 9079,rna-NM_001199497.4.4
Cluster 9080,rna-NM_001030803.2.2
Cluster 9081,rna-XM_030286636.3.24
Cluster 9082,rna-XM_030277430.3.5
Cluster 9083,rna-XM_032744842.2.74
Cluster 9084,rna-XM_030259311.3.85
Cluster 9085,rna-NM_001199314.3.4
Cluster 9086,rna-XM_415631.8.28
Cluster 9087,rna-XM_046902314.1.18
Cluster 9088,rna-XM_015300103.4.84
Cluster 9089,rna-XM_046901334.1.22
Cluster 9090,rna-NM_204529.2.182
Cluster 9091,rna-NM_204150.2.50
Cluster 9092,rna-NM_001318978.3.38
Cluster 9093,rna-XM_015295450.4.76
Cluster 9094,rna-XM_015278343.3.83
Cluster 9095,rna-XM_415870.8.18
Cluster 9096,rna-XM_040653764.2.11
Cluster 9097,rna-XM_040699417.2.79
Cluster 9098,rna-XM_046905913.1.6
Cluster 9099,rna-NM_001303036.2.5
Cluster 9100,rna-NM_001030999.2.1
Cluster 9101,rna-XM_004938212.5.34
Cluster 9102,rna-XM_420178.8.130
Cluster 9103,rna-XM_040650726.2.27
Cluster 9104,rna-XM_030273302.3.6
Cluster 9105,rna-XM_030267193.3.1
Cluster 9106,rna-XM_002198055.6.29
Cluster 9107,rna-XM_030277591.3.11
Cluster 9108,rna-XM_030257312.3.22
Cluster 9109,rna-XM_041721486.1.67
Cluster 9110,rna-XM_030275124.3.6
Cluster 9111,rna-XM_015282747.4.1
Cluster 9112,rna-NM_001199651.3.5
Cluster 9113,rna-XM_419050.8.1
Cluster 9114,rna-XM_015294504.4.15
Cluster 9115,rna-XM_015285682.4.7
Cluster 9116,rna-XM_040656557.2.6
Cluster 9117,rna-XM_417379.8.27
Cluster 9118,rna-XM_004936953.5.90
Cluster 9119,rna-NM_204948.2.15
Cluster 9120,rna-XM_046898487.1.12
Cluster 9121,rna-XM_046913000.1.11
Cluster 9122,rna-XM_420891.7.82
Cluster 9123,rna-NM_001032362.1.22
Cluster 9124,rna-NM_204938.3.77
Cluster 9125,rna-XM_416643.8.11
Cluster 9126,rna-XM_422345.8.10
Cluster 9127,rna-XM_004934559.5.2
Cluster 9128,rna-XM_041719269.1.26
Cluster 9129,rna-XM_002197820.5.26
Cluster 9130,rna-XM_041712834.1.263
Cluster 9131,rna-XM_041720597.1.47
Cluster 9132,rna-XM_030266775.3.1
Cluster 9133,rna-XM_030257028.3.37
Cluster 9134,rna-XM_015292126.4.14
Cluster 9135,rna-XM_040704504.2.10
Cluster 9136,rna-XM_015277211.4.90
Cluster 9137,rna-XM_040652535.2.111
Cluster 9138,rna-NM_204616.2.5
Cluster 9139,rna-NM_001030916.1.59
Cluster 9140,rna-XM_046899485.1.16
Cluster 9141,rna-NM_001389434.2.36
Cluster 9142,rna-XM_420409.8.7
Cluster 9143,rna-XM_002198278.5.25
Cluster 9144,rna-XM_041712265.1.1369
Cluster 9145,rna-XM_041721057.1.62
Cluster 9146,rna-XM_030283795.3.21
Cluster 9147,rna-XM_002196414.4.11
Cluster 9148,rna-XM_041712613.1.113
Cluster 9149,rna-XM_030259470.3.75
Cluster 9150,rna-XM_030276291.3.8
Cluster 9151,rna-XM_030288865.3.18
Cluster 9152,rna-XM_002193039.6.45
Cluster 9153,rna-XM_030276579.3.8
Cluster 9154,rna-XM_040649809.2.28
Cluster 9155,rna-XM_046941024.1.61
Cluster 9156,rna-XM_015277728.4.2
Cluster 9157,rna-XM_419916.8.3
Cluster 9158,rna-XM_015276206.4.56
Cluster 9159,rna-XM_423393.8.105
Cluster 9160,rna-XM_004946653.5.18
Cluster 9161,rna-XM_422311.6.10
Cluster 9162,rna-XM_001234442.6.81
Cluster 9163,rna-NM_204705.2.6
Cluster 9164,rna-NM_001199598.2.48
Cluster 9165,rna-XM_416459.6.4
Cluster 9166,rna-NM_001031338.2.5569
Cluster 9167,rna-NM_001397446.1.33
Cluster 9168,rna-NM_001006589.3.130
Cluster 9169,rna-XM_030289128.3.46
Cluster 9170,rna-XM_041719802.1.55
Cluster 9171,rna-XM_030284666.3.16
Cluster 9172,rna-XM_030266188.3.1
Cluster 9173,rna-XM_030281982.3.19
Cluster 9174,rna-XM_032750331.2.48
Cluster 9175,rna-NM_001076702.1.665
Cluster 9176,rna-XM_040697417.2.3
Cluster 9177,rna-XM_429060.8.6
Cluster 9178,rna-XM_046941454.1.5
Cluster 9179,rna-XM_015274298.4.2
Cluster 9180,rna-XM_015298766.4.81
Cluster 9181,rna-XM_046944453.1.10
Cluster 9182,rna-NM_001030634.2.15
Cluster 9183,rna-XM_015299772.4.70
Cluster 9184,rna-NM_001031515.2.1
Cluster 9185,rna-XM_046943700.1.35
Cluster 9186,rna-XM_422372.8.10
Cluster 9187,rna-NM_204357.2.5
Cluster 9188,rna-NM_001206496.3.18
Cluster 9189,rna-XM_004942244.5.9
Cluster 9190,rna-XM_015299667.4.70
Cluster 9191,rna-NM_001389508.2.1
Cluster 9192,rna-XM_015284123.4.20
Cluster 9193,rna-XM_046926610.1.1
Cluster 9194,rna-XM_012574814.4.21
Cluster 9195,rna-XM_030270125.3.2
Cluster 9196,rna-XM_041712590.1.203
Cluster 9197,rna-XM_004176884.3.9
Cluster 9198,rna-XM_030274176.3.6
Cluster 9199,rna-XM_032745692.2.101
Cluster 9200,rna-NM_001397681.1.5
Cluster 9201,rna-XM_025154158.3.21
Cluster 9202,rna-NM_001037838.1.10
Cluster 9203,rna-XM_415798.7.18
Cluster 9204,rna-NM_204981.3.62
Cluster 9205,rna-XM_416426.8.26
Cluster 9206,rna-XM_046940747.1.2
Cluster 9207,rna-NM_001396102.1.11
Cluster 9208,rna-XM_001233677.7.4
Cluster 9209,rna-XM_004936441.5.5
Cluster 9210,rna-XM_046898334.1.12
Cluster 9211,rna-XM_015285427.4.7
Cluster 9212,rna-XM_015286200.4.116
Cluster 9213,rna-XM_040652925.2.59
Cluster 9214,rna-XM_422532.8.10
Cluster 9215,rna-XM_420576.8.7
Cluster 9216,rna-NM_001318443.2.3
Cluster 9217,rna-XM_041712471.1.203
Cluster 9218,rna-XM_012573609.4.3
Cluster 9219,rna-XM_041720053.1.27
Cluster 9220,rna-XM_012574993.4.25
Cluster 9221,rna-XM_002188024.4.62
Cluster 9222,rna-XM_015296054.4.18
Cluster 9223,rna-XM_040705873.2.120
Cluster 9224,rna-XM_426700.7.12
Cluster 9225,rna-XM_015299834.4.163
Cluster 9226,rna-NM_001389635.1.10
Cluster 9227,rna-XM_046898425.1.12
Cluster 9228,rna-XM_046943270.1.103
Cluster 9229,rna-XM_015283712.4.3
Cluster 9230,rna-XM_015295723.4.18
Cluster 9231,rna-XM_418113.8.57
Cluster 9232,rna-NM_001031168.2.7
Cluster 9233,rna-NM_001007828.2.14
Cluster 9234,rna-NM_205202.2.29
Cluster 9235,rna-XM_030258117.3.7
Cluster 9236,rna-XM_030271951.3.71
Cluster 9237,rna-XM_030269002.3.2
Cluster 9238,rna-XM_030289429.3.46
Cluster 9239,rna-NM_001076697.1.443
Cluster 9240,rna-XM_030285519.3.26
Cluster 9241,rna-NM_001006227.2.4
Cluster 9242,rna-XM_004946334.5.76
Cluster 9243,rna-XM_426717.7.12
Cluster 9244,rna-XM_001233061.7.4
Cluster 9245,rna-NM_001030865.2.38
Cluster 9246,rna-XM_015297201.4.89
Cluster 9247,rna-NM_001030809.2.11
Cluster 9248,rna-XM_015289858.4.8
Cluster 9249,rna-NM_001389577.2.6
Cluster 9250,rna-XM_025143027.3.204
Cluster 9251,rna-NM_001008680.2.11
Cluster 9252,rna-NM_001030757.2.4
Cluster 9253,rna-NM_001398400.1.83
Cluster 9254,rna-XM_004939022.5.104
Cluster 9255,rna-NM_001397414.1.57
Cluster 9256,rna-NM_001293103.2.2
Cluster 9257,rna-XM_046941896.1.131
Cluster 9258,rna-XM_040705266.2.10
Cluster 9259,rna-XM_040704772.2.10
Cluster 9260,rna-NM_001128062.3.1
Cluster 9261,rna-XM_003641451.6.71
Cluster 9262,rna-XM_030269913.3.2
Cluster 9263,rna-XM_032743866.2.37
Cluster 9264,rna-XM_032752699.2.31
Cluster 9265,rna-XM_012570601.4.57
Cluster 9266,rna-NM_205530.2.18
Cluster 9267,rna-NM_001389409.2.25
Cluster 9268,rna-XM_413868.8.14
Cluster 9269,rna-XM_419102.8.1
Cluster 9270,rna-XM_003642322.6.63
Cluster 9271,rna-XM_004940307.5.3
Cluster 9272,rna-NM_001127313.2.2
Cluster 9273,rna-XM_015276431.4.97
Cluster 9274,rna-XM_025149812.2.61
Cluster 9275,rna-NM_204890.2.9
Cluster 9276,rna-NM_001293315.2.13
Cluster 9277,rna-XM_419263.7.81
Cluster 9278,rna-XM_030289885.3.47
Cluster 9279,rna-XM_002190729.5.5
Cluster 9280,rna-XM_041717712.1.9
Cluster 9281,rna-XM_015291377.4.12
Cluster 9282,rna-NM_001031427.2.6
Cluster 9283,rna-NM_001305260.2.100
Cluster 9284,rna-NM_001007975.3.54
Cluster 9285,rna-XM_015297507.4.177
Cluster 9286,rna-NM_001001299.3.3
Cluster 9287,rna-NM_204234.2.86
Cluster 9288,rna-XM_040649102.2.17
Cluster 9289,rna-NM_001024579.2.1
Cluster 9290,rna-NM_001397697.1.26
Cluster 9291,rna-NM_204190.2.46
Cluster 9292,rna-NM_001006290.3.27
Cluster 9293,rna-NM_001006501.2.9
Cluster 9294,rna-NM_001005791.2.5
Cluster 9295,rna-NM_204283.2.29
Cluster 9296,rna-NM_001006236.3.4
Cluster 9297,rna-XM_025145099.3.2
Cluster 9298,rna-XM_015288227.4.98
Cluster 9299,rna-NM_001199423.2.3
Cluster 9300,rna-NM_001396138.1.2
Cluster 9301,rna-NM_204857.2.2
Cluster 9302,rna-XM_030279242.3.9
